torque_Nm,speed_kph,throttle
635.6882484462993,29.09975578308105,25.0
635.5372165576123,29.202822647094727,25.0
635.3925094260453,29.29727210998536,25.0
635.2246720866787,29.40023597717285,25.0
635.0794243719906,29.503158645629885,25.0
634.9238570671839,29.60601951599121,25.0
634.7748992592356,29.70883918762207,25.0
634.6284517885626,29.837299575805662,25.0
634.474426734571,29.94856498718262,25.0
634.3293467380677,30.05978576660156,25.0
634.1836400967644,30.15385757446289,25.0
634.0281746745898,30.264966430664064,25.0
633.8584273219494,30.367456512451174,25.0
633.6937066781327,30.47843147277832,25.0
633.5422461448223,30.58083915710449,25.0
633.2499792282034,30.79405494689941,25.0
633.1086321624485,30.88778961181641,25.0
632.9595361879151,30.972961120605472,25.0
632.8164438192799,31.07512573242188,25.0
632.6674361325983,31.17724983215332,25.0
